tourney_id;tourney_name;surface;draw_size;tourney_level;indoor;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;source_year;source_file;source_url
2026-9900;United Cup;Hard;18,0;A;O;20260102;1,0;B0BI;;;Sebastian Baez;R;170,0;ARG;25,002;45,0;1145,0;MU94;;;Jaume Munar;R;183,0;ESP;28,652;33,0;1385,0;6-4 6-4;3;RR;103,0;0,0;2,0;71,0;46,0;27,0;15,0;10,0;4,0;6,0;7,0;0,0;52,0;39,0;25,0;6,0;10,0;2,0;6,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260102;2,0;TE51;;;Stefanos Tsitsipas;R;193,0;GRE;27,381;36,0;1380,0;M0HU;;;Shintaro Mochizuki;R;175,0;JPN;22,576;99,0;647,0;6-3 6-4;3;RR;82,0;8,0;2,0;61,0;42,0;28,0;11,0;10,0;1,0;2,0;1,0;3,0;57,0;30,0;22,0;11,0;9,0;5,0;8,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260103;3,0;Z371;;;Zhizhen Zhang;R;193,0;CHN;29,202;410,0;115,0;BU13;;;Zizou Bergs;R;185,0;BEL;26,574;42,0;1208,0;6-7(2) 7-6(3) 7-5;3;RR;173,0;12,0;0,0;108,0;71,0;59,0;21,0;18,0;0,0;0,0;18,0;5,0;126,0;75,0;58,0;29,0;18,0;9,0;10,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260103;4,0;W367;;;Stan Wawrinka;R;183,0;SUI;40,756;157,0;397,0;RC91;;;Arthur Rinderknech;R;196,0;FRA;30,437;29,0;1527,0;5-7 7-6(5) 7-6(5);3;RR;198,0;6,0;2,0;120,0;68,0;53,0;31,0;18,0;2,0;4,0;17,0;5,0;111,0;61,0;50,0;32,0;18,0;6,0;7,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260103;5,0;B0BI;;;Sebastian Baez;R;170,0;ARG;25,002;45,0;1145,0;FB98;;;Taylor Fritz;R;196,0;USA;28,17;6,0;4085,0;4-6 7-5 6-4;3;RR;153,0;4,0;0,0;107,0;80,0;51,0;16,0;16,0;8,0;11,0;23,0;2,0;102,0;56,0;43,0;21,0;16,0;4,0;8,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260103;6,0;RH16;;;Casper Ruud;R;183,0;NOR;27,02;12,0;2825,0;DH58;;;Alex de Minaur;R;183,0;AUS;26,864;7,0;4080,0;6-3 6-3;3;RR;93,0;6,0;3,0;66,0;47,0;37,0;8,0;9,0;5,0;5,0;2,0;8,0;66,0;36,0;23,0;14,0;9,0;7,0;10,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260104;7,0;HD68;;;Billy Harris;R;193,0;GBR;30,927;128,0;482,0;M0HU;;;Shintaro Mochizuki;R;175,0;JPN;22,576;99,0;647,0;7-6(4) 6-3;3;RR;110,0;4,0;3,0;70,0;41,0;30,0;16,0;11,0;4,0;6,0;4,0;6,0;68,0;27,0;21,0;18,0;10,0;1,0;4,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260104;8,0;Z355;;;Alexander Zverev;R;198,0;GER;28,693;3,0;5110,0;GJ37;;;Tallon Griekspoor;R;188,0;NED;29,492;26,0;1565,0;7-5 6-0;3;RR;69,0;15,0;0,0;48,0;36,0;32,0;6,0;9,0;2,0;2,0;3,0;3,0;43,0;30,0;19,0;3,0;9,0;0,0;4,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260104;9,0;AG37;;;Felix Auger-Aliassime;R;193,0;CAN;25,407;5,0;4190,0;Z371;;;Zhizhen Zhang;R;193,0;CHN;29,218;410,0;115,0;6-4 6-4;3;RR;87,0;6,0;0,0;55,0;37,0;32,0;10,0;10,0;1,0;1,0;2,0;2,0;55,0;34,0;23,0;12,0;10,0;0,0;2,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260104;1,0;TD51;;;Frances Tiafoe;R;188,0;USA;27,956;30,0;1500,0;V832;;;Aleksandar Vukic;R;188,0;AUS;29,747;84,0;708,0;6-2 6-2;3;R32;60,0;3,0;0,0;39,0;28,0;23,0;9,0;8,0;0,0;0,0;3,0;3,0;46,0;26,0;15,0;7,0;8,0;2,0;6,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260104;2,0;T0HA;8,0;;Learner Tien;L;180,0;USA;20,09;28,0;1540,0;U182;;;Camilo Ugo Carabelli;R;185,0;ARG;26,552;49,0;1028,0;7-6(4) 6-3;3;R32;91,0;1,0;2,0;61,0;36,0;29,0;17,0;11,0;0,0;1,0;2,0;2,0;66,0;38,0;29,0;13,0;10,0;5,0;7,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-9900;United Cup;Hard;18,0;A;O;20260104;10,0;C0E9;;;Flavio Cobolli;R;183,0;ITA;23,666;22,0;2000,0;W367;;;Stan Wawrinka;R;183,0;SUI;40,772;157,0;397,0;6-4 6-7(2) 7-6(4);3;RR;175,0;8,0;1,0;101,0;55,0;41,0;33,0;17,0;0,0;0,0;8,0;3,0;104,0;61,0;49,0;27,0;17,0;3,0;4,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-336;Hong Kong;Hard;28,0;250;O;20260105;1,0;BT72;8,0;;Nuno Borges;R;185,0;POR;28,876;45,0;1120,0;D923;;;Damir Dzumhur;R;175,0;BIH;33,629;65,0;837,0;6-4 6-3;3;R32;75,0;5,0;1,0;51,0;40,0;27,0;4,0;9,0;3,0;5,0;1,0;5,0;69,0;41,0;24,0;11,0;10,0;3,0;8,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-336;Hong Kong;Hard;28,0;250;O;20260105;2,0;C977;;;Marin Cilic;R;198,0;CRO;37,27;70,0;765,0;ME82;;;Adrian Mannarino;L;180,0;FRA;37,52;68,0;817,0;6-3 6-2;3;R32;84,0;9,0;3,0;56,0;27,0;24,0;15,0;9,0;1,0;1,0;0,0;0,0;49,0;36,0;22,0;5,0;8,0;3,0;6,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;3,0;HB64;;;Quentin Halys;R;191,0;FRA;29,194;91,0;669,0;P09Z;;;Alexei Popyrin;R;196,0;AUS;26,42;50,0;1000,0;5-7 6-3 6-4;3;R32;114,0;15,0;2,0;79,0;58,0;52,0;9,0;16,0;1,0;2,0;13,0;2,0;84,0;54,0;41,0;16,0;15,0;3,0;5,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;4,0;L0BV;3,0;;Jiri Lehecka;R;185,0;CZE;24,159;19,0;2075,0;M0FH;;;Tomas Machac;R;183,0;CZE;25,229;35,0;1360,0;6-4 6-7(5) 6-2;3;R32;144,0;8,0;0,0;88,0;63,0;50,0;16,0;15,0;2,0;2,0;8,0;5,0;109,0;71,0;50,0;17,0;15,0;2,0;5,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;5,0;K0AH;;;Sebastian Korda;R;196,0;USA;25,503;46,0;1090,0;VA25;;;Valentin Vacherot;R;193,0;MON;27,138;31,0;1469,0;7-6(1) 6-3;3;R32;87,0;10,0;5,0;67,0;46,0;37,0;12,0;11,0;3,0;4,0;9,0;2,0;69,0;46,0;30,0;13,0;10,0;7,0;9,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;6,0;MQ75;;;Kamil Majchrzak;R;183,0;POL;29,979;59,0;861,0;AE14;;;Daniel Altmaier;R;188,0;GER;27,316;44,0;1123,0;7-6(4) 6-0;3;R32;82,0;7,0;1,0;53,0;37,0;33,0;6,0;9,0;0,0;1,0;7,0;5,0;59,0;37,0;24,0;7,0;9,0;5,0;9,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;7,0;M0QI;;;Alex Michelsen;R;193,0;USA;21,363;37,0;1300,0;D994;;;James Duckworth;R;183,0;AUS;33,958;86,0;694,0;6-7(4) 7-6(2) 6-3;3;R32;146,0;19,0;2,0;109,0;76,0;60,0;19,0;17,0;6,0;6,0;10,0;7,0;99,0;55,0;45,0;25,0;16,0;2,0;3,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
2026-339;Brisbane;Hard;32,0;250;O;20260105;8,0;O522;;;Reilly Opelka;R;211,0;USA;28,356;60,0;861,0;S0IA;;;Dane Sweeny;R;170,0;AUS;24,895;183,0;315,0;6-3 7-5;3;R32;82,0;21,0;2,0;55,0;45,0;36,0;8,0;11,0;0,0;0,0;2,0;4,0;68,0;41,0;33,0;10,0;10,0;6,0;8,0;2026;2026.csv;https://stats.tennismylife.org/data/2026.csv
