player;credits;expected_points;rank_v13;seed;entry;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
ARTHUR FILS;11,4;46,54;1;;;64;64;64;8;2020,6;1955,1;2051,0;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;133;arthur fils;0;0,0;27
JANNIK SINNER;33,2;43,91;2;;;64;64;64;1;2319,8;2215,7;2339,8;0,0;0,0;0,0;-0,3;0,0;0,0;1,0;185;jannik sinner;0;0,0;27
FLAVIO COBOLLI;11,7;42,77;3;;;64;64;64;25;1896,3;1862,4;1914,6;0,0;0,0;0,0;-0,3;0,0;0,0;1,0;175;flavio cobolli;0;0,0;27
DANIIL MEDVEDEV;17,4;42,62;4;;;64;64;64;32;1977,4;1889,0;2201,2;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;174;daniil medvedev;0;0,0;27
BEN SHELTON;17,5;41,9;5;;;64;64;64;16;1960,5;1845,1;2024,4;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;168;ben shelton;0;0,0;27
ANDREY RUBLEV;14,9;41,89;6;;;64;64;64;9;1902,2;1872,4;2122,1;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;164;andrey rublev;4;100,0;27
FELIX AUGER ALIASSIME;20,3;39,26;7;;;64;64;64;17;1957,9;1863,9;2062,7;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;173;felix auger aliassime;0;0,0;27
JOAO FONSECA;10,8;36,12;8;;;64;64;64;20;1927,6;1856,3;1992,5;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;143;joao fonseca;0;0,0;27
TOMAS MARTIN ETCHEVERRY;6,2;34,41;9;;;64;64;64;21;1826,7;1774,5;1871,7;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;160;tomas martin etcheverry;0;0,0;27
JAKUB MENSIK;13,6;33,97;10;;;64;64;64;4;1931,3;1861,1;1969,6;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;164;jakub mensik;0;0,0;27
CAMERON NORRIE;7,3;32,68;11;;;64;64;64;28;1828,8;1787,7;2028,6;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;142;cameron norrie;0;0,0;27
