player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Alexander Zverev;27,2;81,4;1;1,0;;GER;128;128;128;1;2099,9;2033,5;2176,5;0,6666666666666666;0,5;0,3636363636363636;2,0979265797267583;609,0;0,0;0,0;314
Daniil Medvedev;16,3;73,52;2;4,0;;;128;128;128;17;1957,2;1944,0;2201,2;0,5833333333333334;0,3333333333333333;0,5;1,1527308359938178;376,0;-0,05;0,0;265
Alex De Minaur;17,6;69,51;3;3,0;;AUS;128;128;128;48;1946,3;1918,3;2053,1;0,6666666666666666;0,625;0,6666666666666666;1,833080184775092;932,0;0,0;0,0;275
Ben Shelton;18,1;68,79;4;5,0;;USA;128;128;128;32;1997,7;1971,9;2024,4;0,6666666666666666;0,8;0,9090909090909092;1,3120010637075787;1040,0;0,1;0,0;233
Taylor Fritz;22,2;63,62;5;7,0;;USA;128;128;128;16;1952,0;1877,5;2070,2;0,8333333333333334;0,8888888888888888;0,6428571428571429;1,1470119541523451;841,0;0,1;0,0;275
Brandon Nakashima;10,0;63,11;6;28,0;;USA;128;128;128;61;1898,4;1853,8;1909,5;0,8333333333333334;0,8461538461538461;0,8666666666666667;3,5401276092422944;1498,0;0,1;0,0;251
Andrey Rublev;12,8;59,91;7;10,0;;;128;128;128;56;1889,2;1834,7;2122,1;0,5;0,3333333333333333;0,3;0,6086452432186537;522,0;-0,05;0,0;256
Rafael Jodar;9,1;59,33;8;20,0;;ESP;128;128;128;37;2024,5;1939,9;2051,1;0,75;0,7692307692307693;0,8125;2,9404795744776213;1484,0;0,0499999999999999;0,0;110
Jiri Lehecka;11,5;52,57;9;8,0;;CZE;128;128;128;33;1921,4;1870,4;1989,9;0,5833333333333334;0,5;0,6;0,9624073943328324;619,0;0,0299999999999999;0,0;218
Flavio Cobolli;11,5;51,92;10;6,0;;ITA;128;128;128;49;1883,7;1794,0;1931,6;0,6666666666666666;0,8;0,4545454545454545;1,960328746771796;666,0;0,09;0,0;274
Jakub Mensik;12,8;51,7;11;13,0;;CZE;128;128;128;24;1914,5;1882,2;1969,6;0,5833333333333334;0,6666666666666666;0,8181818181818182;2,073667067573054;1056,0;0,0499999999999999;0,0;216
Arthur Fils;11,3;48,41;12;18,0;;FRA;128;128;128;44;2000,9;1933,1;2051,0;0,5833333333333334;0,75;0,8;1,3699518129024393;793,0;0,1;0,0;212
Cameron Norrie;7,3;48,11;13;;;GBR;128;128;128;46;1841,8;1806,4;2028,6;0,5833333333333334;0,7;0,9090909090909092;2,029308061614111;1135,0;0,0499999999999999;0,0;214
Casper Ruud;16,6;47,18;14;9,0;;NOR;128;128;128;25;1954,9;1872,9;2071,9;0,5;0,3333333333333333;0,5;0,2224102301777707;238,0;-0,05;0,0;235
Frances Tiafoe;10,0;45,43;15;15,0;;USA;128;128;128;57;1896,1;1840,7;1974,0;0,75;0,6666666666666666;0,6666666666666666;1,1471912938874622;622,0;0,09;0,0;220
Lorenzo Musetti;17,8;43,37;16;11,0;;ITA;128;128;128;40;1865,3;1797,0;2050,5;0,6666666666666666;0,75;1,0;1,0836002574046495;751,0;0,0499999999999999;0,0;235
Learner Tien;8,8;43,29;17;12,0;;USA;128;128;128;9;1933,3;1901,5;1977,4;0,5833333333333334;0,625;0,8;1,277802033065723;761,0;0,0499999999999999;0,0;169
Nuno Borges;6,7;42,32;18;;;POR;128;128;128;51;1789,5;1736,3;1843,6;0,6666666666666666;0,75;0,4210526315789473;2,1295939584018964;1063,0;0,0499999999999999;0,0;236
Alex Michelsen;6,5;38,85;19;;;USA;128;128;128;7;1847,9;1834,2;1904,8;0,75;0,7692307692307693;0,7222222222222222;0,8306831738749739;811,0;0,0;0,0;248
Stefanos Tsitsipas;7,4;37,37;20;;Q;GRE;128;128;128;27;1862,8;1815,1;2145,1;0,6666666666666666;0,5;0,4285714285714285;0,663929625758047;598,0;0,3799999999999999;0,0;226
Tommy Paul;12,5;36,37;21;17,0;;USA;128;128;128;12;1922,5;1857,7;2028,8;0,5833333333333334;0,5714285714285714;0,7;2,690323989630005;904,0;0,0499999999999999;0,0;234
Fabian Marozsan;4,2;34,19;22;;;HUN;128;128;128;3;1779,3;1735,8;1867,2;0,5;0,3333333333333333;0,3333333333333333;0,3170624304783479;324,0;-0,05;0,0;214
