player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Pablo Carreno Busta;3,1;56,27;1;8,0;;ESP;32;32;32;4;1804,1;1768,4;2005,1;0,5833333333333334;0,6666666666666666;0,75;1,1513210642711806;581,0;0,0;0,0;131;pablo carreno busta;27;1;25,0
Andrey Rublev;14,2;50,09;2;1,0;;;32;32;32;1;1889,8;1866,2;2122,1;0,6666666666666666;0,875;0,8;1,7906046292558675;655,0;0,09;0,0;169;andrey rublev;27;1;25,0
Alejandro Tabilo;4,7;49,47;3;3,0;;CHI;32;32;32;5;1807,9;1775,6;1895,7;0,5;0,7142857142857143;0,7;1,580538652423879;581,0;0,0;0,0;168;alejandro tabilo;27;0;0,0
Alexander Blockx;4,7;48,1;4;4,0;;BEL;32;32;32;12;1897,8;1864,1;1907,2;0,5833333333333334;0,3333333333333333;0,75;0,2780027181794905;294,0;-0,15;0,0;166;alexander blockx;27;3;75,0
Luciano Darderi;8,0;47,14;5;2,0;;ITA;32;32;32;16;1821,0;1828,8;1858,1;0,5833333333333334;0,625;0,7272727272727273;1,972616615804612;811,0;0,0299999999999999;0,0;180;luciano darderi;27;2;50,0
Nuno Borges;5,8;47,05;6;5,0;;POR;32;32;32;9;1773,5;1728,1;1843,6;0,5833333333333334;0,6666666666666666;0,4;1,0644321543460988;862,0;0,0299999999999999;1,0;168;nuno borges;27;1;25,0
Titouan Droguet;1,0;39,95;7;;;FRA;32;32;32;8;1722,6;1696,7;1737,9;0,6666666666666666;0,6666666666666666;0,6428571428571429;1,4029658957247453;879,0;0,0499999999999999;0,0;173;titouan droguet;27;1;25,0
Jaime Faria;2,5;35,28;8;;;POR;32;32;32;13;1760,0;1718,7;1760,0;0,6666666666666666;0,75;0,5333333333333333;1,9821250502068977;968,0;0,0499999999999999;1,0;150;jaime faria;27;2;50,0
Daniel Merida Aguilar;1,0;27,81;9;;;ESP;32;32;32;11;1754,5;1705,5;1798,1;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;0;daniel merida aguilar;27;0;0,0
Luca Van Assche;1,0;26,35;10;;;FRA;32;32;32;3;1690,4;1633,2;1801,5;0,6666666666666666;0,7272727272727273;0,9166666666666666;0,989918243813904;351,0;-0,05;0,0;176;luca van assche;27;5;125,0
Henrique Rocha;1,0;26,07;11;;;POR;32;32;32;15;1652,5;1654,9;1694,5;0,5833333333333334;0,75;0,6666666666666666;0,1248693617338095;238,0;-0,15;1,0;165;henrique rocha;27;0;0,0
Roman Andres Burruchaga;1,5;25,06;12;;;ARG;32;32;32;10;1687,1;1671,2;1764,5;0,4166666666666667;0,5714285714285714;0,7777777777777778;1,2136116645799788;685,0;0,0;0,0;186;roman andres burruchaga;27;2;50,0
Botic Van De Zandschulp;3,9;22,28;13;6,0;;NED;32;32;32;13;1740,1;1688,9;1938,0;0,4166666666666667;0,3333333333333333;0,375;1,3193129509696182;694,0;0,0;0,0;157;botic van de zandschulp;27;0;0,0
Hugo Gaston;1,0;20,69;14;;;FRA;32;32;32;7;1657,7;1602,7;1795,1;0,5833333333333334;0,625;0,6153846153846154;1,6986399951541675;1236,0;0,0499999999999999;0,0;166;hugo gaston;27;3;75,0
Gonzalo Bueno;1,0;18,69;15;;Q;;32;32;32;14;1473,3;1457,7;1602,2;0,3333333333333333;0,3636363636363636;0,9166666666666666;0,2592778412520293;321,0;0,1999999999999999;0,0;156;gonzalo bueno;27;1;25,0
Jesper De Jong;2,0;18,02;16;;;NED;32;32;32;2;1718,5;1699,6;1741,0;0,6666666666666666;0,7333333333333333;0,8823529411764706;0,7586977914962291;604,0;0,0;0,0;180;jesper de jong;27;0;0,0
Jan Choinski;1,0;15,32;18;;;GBR;32;32;32;2;1731,2;1695,8;1731,2;0,75;0,6666666666666666;0,6818181818181818;1,4052205504818032;1486,0;0,1;0,0;172;jan choinski;27;0;0,0
Damir Dzumhur;2,4;14,61;19;;;BIH;32;32;32;7;1625,3;1584,3;1895,8;0,5833333333333334;0,5454545454545454;0,7333333333333333;3,1641435481828006;1268,0;0,0499999999999999;0,0;188;damir dzumhur;27;0;0,0
Nikoloz Basilashvili;2,1;12,35;20;;;;32;32;32;6;1636,0;1598,2;1889,8;0,3333333333333333;0,2;0,5;1,288717479231767;590,0;-0,09;0,0;144;nikoloz basilashvili;27;0;0,0
Stan Wawrinka;1,6;11,13;21;;;SUI;32;32;32;10;1673,5;1610,3;2145,5;0,1818181818181818;0,0;0,75;0,8094152887873987;425,0;-0,15;0,0;106;stan wawrinka;27;0;0,0
Tiago Pereira;1,0;10,26;22;;WC;POR;32;32;32;14;1178,8;1200,1;1406,9;0,3636363636363636;0,0;0,1666666666666666;1,722951378654622;547,0;0,125;1,0;44;tiago pereira;27;0;0,0
Kyrian Jacquet;1,0;6,98;25;;LL;FRA;32;32;32;11;1715,8;1601,4;1735,1;0,6666666666666666;0,6;0,3333333333333333;0,4847374355016369;646,0;-0,15;0,0;121;kyrian jacquet;27;1;25,0
Pedro Martinez;1,0;6,16;26;;Q;ESP;32;32;32;15;1561,5;1535,9;1844,3;0,4166666666666667;0,4545454545454545;0,9166666666666666;1,3167613372846665;536,0;0,2749999999999999;0,0;157;pedro martinez;27;1;25,0
Vilius Gaubas;1,0;2,09;28;;ALT;;32;32;32;4;1623,2;1561,9;1718,5;0,5;0,3333333333333333;0,6923076923076923;0,9441739878511116;975,0;0,0;0,0;164;vilius gaubas;27;0;0,0
BYE;0,0;0,0;29;;;;32;32;32;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;27;0;0,0
BYE;0,0;0,0;29;;;;32;32;32;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;27;0;0,0
