player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Mariano Navone;3,6;65,86;1;;;ARG;32;32;32;14;1811,6;1794,8;1875,9;0,5;0,5714285714285714;0,7777777777777778;0,3816219729545742;465,0;-0,15;0,0;165;mariano navone;28;2;50,0
Ignacio Buse;4,9;60,83;2;5,0;;;32;32;32;8;1811,0;1780,7;1844,9;0,5833333333333334;0,6666666666666666;0,5;0,4123140420611857;545,0;-0,05;0,0;143;ignacio buse;28;2;50,0
Raphael Collignon;3,0;55,97;3;7,0;;BEL;32;32;32;4;1883,4;1808,1;1924,1;0,6666666666666666;0,6666666666666666;0,5625;2,517822433316537;1053,0;0,0499999999999999;0,0;148;raphael collignon;28;0;0,0
Juan Manuel Cerundolo;4,8;51,16;4;8,0;;ARG;32;32;32;9;1782,3;1757,6;1803,9;0,6666666666666666;0,75;0,6666666666666666;1,7537034292995426;986,0;0,0299999999999999;0,0;187;juan manuel cerundolo;28;0;0,0
Alexander Bublik;12,0;48,95;5;1,0;;KAZ;32;32;32;1;1903,0;1829,4;1988,6;0,5;0,4;0,3846153846153846;1,0841415352972965;816,0;0,0299999999999999;0,0;161;alexander bublik;28;3;75,0
Yannick Hanfmann;2,3;39,67;6;;;GER;32;32;32;10;1781,1;1741,4;1843,4;0,4166666666666667;0,25;0,3333333333333333;0,8295126873777086;743,0;0,0;0,0;162;yannick hanfmann;28;3;75,0
Tomas Martin Etcheverry;5,9;38,17;7;4,0;;ARG;32;32;32;5;1798,1;1760,2;1871,7;0,25;0,0;0,5;0,4069032170290214;470,0;-0,15;0,0;163;tomas martin etcheverry;28;2;50,0
Valentin Vacherot;6,5;34,97;8;2,0;;MON;32;32;32;16;1802,6;1688,8;1929,6;0,5833333333333334;0,5;1,0;0,6460194744390431;260,0;0,0;0,0;133;valentin vacherot;28;0;0,0
Jan Lennard Struff;2,6;27,04;9;6,0;;GER;32;32;32;13;1738,7;1681,6;1935,1;0,5833333333333334;0,5;0,1818181818181818;1,6167404992148686;1186,0;0,09;0,0;143;jan lennard struff;28;2;50,0
Alex Molcan;2,3;26,68;10;;;SVK;32;32;32;3;1747,4;1714,4;1872,5;0,6666666666666666;0,7272727272727273;0,6875;2,236669785423913;1174,0;0,0499999999999999;0,0;89;alex molcan;28;2;50,0
Arthur Rinderknech;5,2;24,59;11;3,0;;FRA;32;32;32;12;1788,6;1716,9;1871,8;0,5;0,5;0,5454545454545454;1,6163251316851754;855,0;0,0299999999999999;0,0;171;arthur rinderknech;28;0;0,0
Facundo Diaz Acosta;1,0;23,43;12;;;ARG;32;32;32;2;1694,7;1686,5;1791,9;0,75;0,8;0,9523809523809524;1,7755643353513002;1310,0;0,0;0,0;136;facundo diaz acosta;28;1;25,0
Miomir Kecmanovic;4,6;22,46;13;;;SRB;32;32;32;11;1767,6;1732,4;1900,6;0,5833333333333334;0,5;0,4444444444444444;0,833255320450957;776,0;-0,05;0,0;153;miomir kecmanovic;28;0;0,0
