player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Jiri Lehecka;11,3;58,33;1;1,0;;CZE;32;32;32;1;1921,2;1869,9;1989,9;0,5833333333333334;0,0;0,0;0,2447832545362312;605,0;0,0499999999999999;0,0;149
Cameron Norrie;7,4;57,73;2;5,0;;GBR;32;32;32;9;1847,4;1809,8;2028,6;0,3333333333333333;0,0;0,0;-0,1484283433489601;240,0;0,0;0,0;143
Francisco Cerundolo;10,6;57,7;3;3,0;;ARG;32;32;32;5;1875,0;1823,4;1961,6;0,6666666666666666;0,0;0,0;-0,2289279153188294;105,0;0,0;0,0;169
Karen Khachanov;10,5;45,26;4;4,0;;;32;32;32;12;1790,8;1741,6;2029,5;0,5833333333333334;0,0;0,0;0,1341310829456938;546,0;0,0;0,0;146
Denis Shapovalov;6,8;43,79;5;8,0;;CAN;32;32;32;13;1772,7;1773,4;1983,2;0,2727272727272727;0,0;0,0;-0,2280034630907561;114,0;0,0;0,0;129
Arthur Gea;1,0;36,25;6;;;FRA;32;32;32;7;1746,4;1759,9;1746,4;0,6666666666666666;0,8;0,3333333333333333;1,036243672328152;1096,0;0,0499999999999999;0,0;113
Luciano Darderi;7,8;35,85;7;2,0;;ITA;32;32;32;16;1826,3;1698,6;1858,1;0,5833333333333334;0,0;0,0;1,7863801095017109;873,0;0,09;0,0;181
Adam Walton;3,6;30,16;8;;;AUS;32;32;32;15;1718,7;1669,8;1747,1;0,6666666666666666;0,875;0,3809523809523809;2,383711673605858;1193,0;0,0499999999999999;0,0;197
Corentin Moutet;4,3;28,95;9;6,0;;FRA;32;32;32;4;1730,9;1714,0;1881,9;0,1666666666666666;0,0;0,0;-0,164624600607294;200,0;0,0;0,0;156
James Duckworth;1,0;27,37;10;;;AUS;32;32;32;10;1646,7;1607,2;1785,9;0,4166666666666667;0,0;0,0;-0,0594923302098643;329,0;-0,15;0,0;178
Michael Zheng;1,0;24,59;11;;;USA;32;32;32;8;1801,4;1753,3;1819,1;0,6666666666666666;0,75;0,25;1,9590898472467952;1321,0;0,0299999999999999;0,0;64
Coleman Wong;1,0;22,2;12;;;;32;32;32;2;1648,4;1634,6;1730,8;0,5;0,6;0,3571428571428571;0,8321575508265083;513,0;0,0299999999999999;0,0;180
Jenson Brooksby;3,9;21,35;13;;;USA;32;32;32;4;1719,6;1688,1;2005,3;0,3333333333333333;0,0;0,0;0,0223495555868454;506,0;-0,15;0,0;75
Sho Shimabukuro;1,7;20,2;14;;;JPN;32;32;32;14;1635,7;1575,8;1692,5;0,5833333333333334;0,0;0,0;-0,1856077875131634;169,0;0,0;0,0;149
Edward Winter;1,0;18,31;15;;LL;AUS;32;32;32;3;1441,0;1411,3;1496,0;0,6666666666666666;0,6666666666666666;1,0;0,4962683599935701;547,0;-0,35;0,0;37
Martin Landaluce;3,7;16,58;16;7,0;;ESP;32;32;32;8;1706,6;1663,0;1764,1;0,5;0,0;0,0;-0,2109516517175141;141,0;0,0;0,0;167
Rinky Hijikata;3,0;16,29;17;;;AUS;32;32;32;13;1737,1;1691,3;1756,7;0,5833333333333334;0,0;0,0;-0,1240119807894822;260,0;0,0;0,0;187
Gabriel Diallo;4,2;16,05;18;;;CAN;32;32;32;6;1704,0;1659,6;1889,2;0,3333333333333333;0,0;0,0;0,1328475728764679;673,0;-0,15;0,0;159
Bernard Tomic;1,0;15,09;19;;LL;AUS;32;32;32;11;1550,1;1519,5;1947,4;0,6666666666666666;0,7;0,5263157894736842;1,551631344916778;920,0;-0,1;0,0;150
Moise Kouame;2,1;12,96;21;;WC;FRA;32;32;32;3;1517,5;1498,5;1579,4;0,2222222222222222;0,0;0,0;-0,0311884624525045;172,0;-0,0999999999999999;0,0;27
Tristan Boyer;1,0;11,83;22;;Q;USA;32;32;32;6;1607,8;1551,3;1753,1;0,6666666666666666;0,5;0,1333333333333333;0,4895841480455043;566,0;0,35;0,0;144
Soon Woo Kwon;1,0;9,05;24;;Q;KOR;32;32;32;7;1738,8;1697,4;1830,7;0,0;0,0;0,0;-0,3;0,0;0,35;0,0;0
Dalibor Svrcina;1,0;6,97;25;;;CZE;32;32;32;15;1614,6;1596,1;1712,9;0,4166666666666667;0,0;0,0;0,2857413416833915;506,0;-0,05;0,0;152
Darwin Blanch;1,0;6,73;26;;;USA;32;32;32;2;1463,7;1403,4;1610,4;0,5;0,0;0,1428571428571428;0,8090532373725531;684,0;-0,0299999999999999;0,0;75
Aidan Mayo;1,0;5,5;27;;Q;USA;32;32;32;10;1363,6;1342,8;1541,1;0,4166666666666667;0,375;1,0;1,1059615016152196;507,0;0,3;0,0;82
Aleksandar Kovacevic;2,9;4,31;28;;;USA;32;32;32;9;1628,1;1604,4;1758,8;0,3333333333333333;0,0;0,0;-0,1532813889136514;266,0;0,0;0,0;171
BYE;0,0;0,0;29;;;;32;32;32;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
