player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
JANNIK SINNER;33,2;105,87;1;1,0;;ITA;128;128;128;1;2319,8;2215,7;2339,8;0,9166666666666666;0,9285714285714286;1,0;-0,1212934776342948;342,0;0,0;0,0;185;jannik sinner;95;6;150,0
ALEXANDER ZVEREV;27,4;79,58;2;2,0;;GER;128;128;128;64;2099,8;2051,1;2176,5;0,8333333333333334;0,875;0,8;2,3409603186570416;1639,0;0,1;0,0;221;alexander zverev;95;5;125,0
CASPER RUUD;17,8;72,54;3;12,0;;NOR;128;128;128;40;1983,1;1973,0;2071,9;0,75;0,7777777777777778;1,0;0,2095024397944033;882,0;0,0;0,0;169;casper ruud;95;3;75,0
DANIIL MEDVEDEV;17,4;68,54;4;7,0;;;128;128;128;49;1977,4;1889,0;2201,2;0,6666666666666666;0,6666666666666666;0,6;2,0294043391424923;892,0;0,0499999999999999;0,0;174;daniil medvedev;95;2;50,0
LORENZO MUSETTI;18,4;61,27;5;6,0;;ITA;128;128;128;32;1968,8;1952,6;2050,5;0,5454545454545454;0,6666666666666666;1,0;-0,3;0,0;0,0;0,0;165;lorenzo musetti;95;2;50,0
ANDREY RUBLEV;14,9;55,32;6;9,0;;;128;128;128;9;1902,2;1872,4;2122,1;0,5833333333333334;0,6666666666666666;0,9;0,3746582776052969;867,0;-0,15;0,0;164;andrey rublev;95;0;0,0
ALEXANDER BLOCKX;4,7;53,62;7;;;BEL;128;128;128;46;1905,5;1867,9;1907,2;0,6666666666666666;0,7;1,0;-0,2566666666666666;104,0;0,0;0,0;164;alexander blockx;95;5;125,0
FELIX AUGER ALIASSIME;20,3;53,08;8;3,0;;CAN;128;128;128;48;1957,9;1863,9;2062,7;0,6666666666666666;0,6;0,6666666666666666;2,3731998217390884;1569,0;0,0;0,0;173;felix auger aliassime;95;1;25,0
BEN SHELTON;17,5;46,99;9;4,0;;USA;128;128;128;17;1960,5;1845,1;2024,4;0,6666666666666666;0,3333333333333333;0,4615384615384615;2,858449422374619;1147,0;0,1;0,0;168;ben shelton;95;0;0,0
RAFAEL JODAR;6,5;46,88;10;;WC;ESP;128;128;128;15;1998,6;1948,9;2014,0;0,75;0,7692307692307693;1,0;0,2642976782219984;927,0;-0,0999999999999999;1,0;94;rafael jodar;95;4;100,0
ARTHUR FILS;11,4;45,28;11;21,0;;FRA;128;128;128;21;2020,6;1955,1;2051,0;0,75;0,6666666666666666;1,0;-0,3;0,0;0,0;0,0;133;arthur fils;95;4;100,0
STEFANOS TSITSIPAS;7,7;43,28;12;;;GRE;128;128;128;34;1842,7;1845,6;2145,1;0,4166666666666667;0,5;0,8888888888888888;0,5110824589394674;360,0;-0,15;0,0;137;stefanos tsitsipas;95;3;75,0
JAKUB MENSIK;13,6;42,28;13;23,0;;CZE;128;128;128;60;1931,3;1861,1;1969,6;0,5833333333333334;0,6666666666666666;0,9230769230769232;1,211894538513982;1293,0;-0,05;0,0;164;jakub mensik;95;2;50,0
ALEJANDRO TABILO;5,0;42,26;14;;;CHI;128;128;128;26;1832,2;1787,8;1895,7;0,5833333333333334;0,7142857142857143;0,875;0,6854431653458183;610,0;-0,15;0,0;164;alejandro tabilo;95;1;25,0
LEARNER TIEN;8,1;40,77;15;17,0;;USA;128;128;128;53;1941,1;1821,4;1977,4;0,75;0,7272727272727273;0,8461538461538461;0,8824210313006751;680,0;0,0;0,0;152;learner tien;95;0;0,0
FLAVIO COBOLLI;11,7;40,61;16;10,0;;ITA;128;128;128;56;1896,3;1862,4;1914,6;0,5833333333333334;0,7142857142857143;0,9333333333333332;0,7292601556432593;1136,0;0,0;0,0;175;flavio cobolli;95;3;75,0
VALENTIN VACHEROT;6,5;39,98;17;14,0;;MON;128;128;128;24;1902,6;1788,8;1929,6;0,5833333333333334;0,3333333333333333;1,0;-0,2186338665210433;170,0;0,0;0,0;131;valentin vacherot;95;0;0,0
TOMMY PAUL;12,3;39,05;18;15,0;;USA;128;128;128;8;1948,5;1885,5;2028,8;0,75;0,6363636363636364;0,6875;1,972300391667131;1149,0;0,09;0,0;149;tommy paul;95;0;0,0
FRANCISCO CERUNDOLO;11,1;38,13;19;16,0;;ARG;128;128;128;41;1931,1;1868,4;1961,6;0,6666666666666666;0,5555555555555556;0,6428571428571429;3,083712548880837;1270,0;0,15;0,0;168;francisco cerundolo;95;2;50,0
