player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
JANNIK SINNER;33,2;115,79;1;1,0;;ITA;128;128;128;1;2319,8;2215,7;2339,8;1,0;1,0;0,652173913;1,59999478;907;0,15;0;181
ALEXANDER ZVEREV;27,4;105,48;2;2,0;;GER;128;128;128;64;2099,8;2051,1;2176,5;0,75;0,764705882;0,739130435;1,656148529;1316;0,05;0;210
DANIIL MEDVEDEV;17,4;84,4;3;6,0;;---;128;128;128;32;1977,4;1889,0;2201,2;0,666666667;0,75;0,666666667;1,419267124;690;0,1;0;166
NOVAK DJOKOVIC;25,1;83,1;4;3,0;;SRB;128;128;128;48;2059,3;1959,2;2463,2;0,727272727;0,0;1,0;0,11688928;135;-0,15;0;109
FELIX AUGER ALIASSIME;20,3;80,7;5;4,0;;CAN;128;128;128;17;1957,9;1863,9;2062,7;0,5;0,5;0,75;0,775523311;347;-0,05;0;161
RAFAEL JODAR;6,5;74,0;6;27,0;;ESP;128;128;128;52;1998,6;1948,9;2014,0;0,75;0,833333333;0,782608696;2,41661177;1317;0,05;0;89
FLAVIO COBOLLI;11,7;72,29;7;10,0;;ITA;128;128;128;25;1896,3;1862,4;1914,6;0,666666667;0,692307692;0,928571429;1,058226679;1037;0,05;0;166
TOMMY PAUL;12,3;65,67;8;24,0;;USA;128;128;128;44;1948,5;1885,5;2028,8;0,666666667;0,714285714;0,636363636;0,50218017;325;-0,05;0;136
TAYLOR FRITZ;21,9;62,51;9;7,0;;USA;128;128;128;49;1909,0;1760,9;2070,2;0,666666667;0,0;0,0;-0,3;0;0,0;0;172
VALENTIN VACHEROT;6,5;62,0;10;16,0;;MON;128;128;128;24;1902,6;1788,8;1929,6;0,583333333;0,666666667;0,666666667;-0,150833333;179;-0,15;0;129
BEN SHELTON;17,5;60,7;11;5,0;;USA;128;128;128;16;1960,5;1845,1;2024,4;0,583333333;0,666666667;0,9;0,533643225;720;-0,15;0;157
ANDREY RUBLEV;14,9;60,43;12;11,0;;---;128;128;128;40;1902,2;1872,4;2122,1;0,666666667;0,666666667;0,923076923;1,388610096;963;0,03;0;159
CASPER RUUD;17,8;59,17;13;15,0;;NOR;128;128;128;41;1983,1;1973,0;2071,9;0,75;0,818181818;0,916666667;1,300784599;738;0,1;0;159
LUCIANO DARDERI;8,0;57,88;14;14,0;;ITA;128;128;128;8;1839,2;1837,9;1858,1;0,666666667;0,666666667;0,923076923;2,21999994;964;0,1;0;167
FRANCES TIAFOE;9,1;57,48;15;19,0;;USA;128;128;128;12;1918,1;1827,5;1974,0;0,666666667;0,6;0,555555556;0,958265611;279;0,0;0;136
JIRI LEHECKA;10,9;56,14;16;12,0;;CZE;128;128;128;56;1921,6;1825,5;1989,9;0,666666667;0,666666667;0,6;0,62174608;525;0,05;0;139
ALEX DE MINAUR;17,9;55,39;17;8,0;;AUS;128;128;128;33;1961,0;1869,4;2053,1;0,416666667;0,428571429;0,875;0,70573002;451;-0,15;0;175
KAREN KHACHANOV;11,9;55,24;18;13,0;;---;128;128;128;57;1828,1;1787,3;2029,5;0,416666667;0,5;0,8;1,431670124;727;0,05;0;137
ALEXANDER BUBLIK;12,6;55,02;19;9,0;;KAZ;128;128;128;9;1889,2;1822,4;1988,6;0,416666667;0,428571429;0,875;0,427540768;324;-0,05;0;148
LEARNER TIEN;8,1;53,39;20;18,0;;USA;128;128;128;28;1941,1;1821,4;1977,4;0,5;0,5;0,857142857;0,698566964;349;0,0;0;143
JAKUB MENSIK;13,6;50,57;21;26,0;;CZE;128;128;128;36;1931,3;1861,1;1969,6;0,5;0,5;0,666666667;0,542290594;442;0,0;0;155
FRANCISCO CERUNDOLO;11,1;48,97;22;25,0;;ARG;128;128;128;29;1931,1;1868,4;1961,6;0,583333333;0,6;0,714285714;0,738079724;672;0,03;0;159
RAPHAEL COLLIGNON;2,3;47,91;23;;;BEL;128;128;128;15;1914,9;1823,9;1924,1;0,833333333;0,9;0,769230769;1,556896326;479;0,09;0;131
ALEJANDRO DAVIDOVICH FOKINA;12,3;47,27;24;21,0;;ESP;128;128;128;53;1862,7;1797,8;1934,8;0,5;0,5;0,8;0,520973147;335;0,0;0;133
JOAO FONSECA;10,8;46,77;25;28,0;;BRA;128;128;128;45;1927,6;1856,3;1992,5;0,583333333;0,6;0,833333333;0,450544202;554;-0,05;0;137
ALEXANDER BLOCKX;4,7;46,38;26;;;BEL;128;128;128;34;1905,5;1867,9;1907,2;0,666666667;0,75;0,888888889;1,325417578;1071;0,05;0;162
BRANDON NAKASHIMA;6,7;46,3;27;31,0;;USA;128;128;128;20;1839,0;1734,9;1909,5;0,416666667;0,428571429;0,875;0,550605273;468;-0,05;0;182
UGO HUMBERT;6,2;42,62;28;32,0;;FRA;128;128;128;61;1852,3;1724,4;2017,7;0,416666667;0,4;0,625;0,36850169;291;-0,05;1;134
STEFANOS TSITSIPAS;7,7;40,54;29;;;GRE;128;128;128;14;1842,7;1845,6;2145,1;0,416666667;0,428571429;0,7;0,514300378;722;0,03;0;132
DINO PRIZMIC;3,1;39,59;30;;;CRO;128;128;128;46;1840,7;1802,8;1886,5;0,833333333;0,777777778;1,0;1,841026727;1305;0,1;0;123
ARTHUR RINDERKNECH;5,4;36,89;31;22,0;;FRA;128;128;128;5;1779,9;1712,5;1871,8;0,416666667;0,428571429;0,875;0,407393229;362;-0,05;1;159
MARIANO NAVONE;3,6;36,44;32;;;ARG;128;128;128;35;1840,2;1809,1;1875,9;0,666666667;0,666666667;0,857142857;2,029107965;858;0,0;0;155
TOMAS MARTIN ETCHEVERRY;6,2;35,45;33;23,0;;ARG;128;128;128;37;1826,7;1774,5;1871,7;0,583333333;0,583333333;0,8;0,905422142;573;0,0;0;156
MARIN CILIC;4,0;35,16;34;;;CRO;128;128;128;22;1800,4;1701,2;2100,4;0,416666667;0,428571429;0,7;0,487727318;429;-0,05;0;87
MATTEO BERRETTINI;6,2;34,92;35;;;ITA;128;128;128;6;1831,4;1790,1;2065,7;0,416666667;0,454545455;0,785714286;1,087766753;770;0,0;0;110
CAMERON NORRIE;7,3;34,83;36;20,0;;GBR;128;128;128;21;1828,8;1787,7;2028,6;0,5;0,555555556;0,9;0,498032773;673;0,0;0;139
JESPER DE JONG;1,0;31,32;37;;LL;NED;128;128;128;60;1707,0;1701,5;1741,0;0,5;0,529411765;1,0;1,385962501;992;-0,15;0;163
REILLY OPELKA;4,1;30,76;38;;;USA;128;128;128;59;1748,9;1644,0;1927,5;0,4;0,0;0,4;-0,280561813;25;-0,15;0;93
JUAN MANUEL CERUNDOLO;4,8;28,29;39;;;ARG;128;128;128;2;1778,7;1755,7;1788,7;0,666666667;0,647058824;1,0;5,38923073;2153;0,1;0;175
MATTEO ARNALDI;4,2;27,81;40;;;ITA;128;128;128;13;1840,6;1835,7;1902,9;0,666666667;0,571428571;0,933333333;2,314386864;1217;0,1;0;123
ALEJANDRO TABILO;5,0;27,71;41;;;CHI;128;128;128;23;1832,2;1787,8;1895,7;0,666666667;0,642857143;0,823529412;1,740309352;1238;0,05;0;158
MARTIN LANDALUCE;3,8;27,34;42;;;ESP;128;128;128;3;1742,5;1662,3;1764,1;0,5;0,571428571;0,666666667;2,1764196;1169;0,05;0;157
MIOMIR KECMANOVIC;4,8;26,87;43;;;SRB;128;128;128;38;1766,2;1731,7;1900,6;0,583333333;0,6;0,909090909;1,574727999;815;0,1;0;144
THIAGO AGUSTIN TIRANTE;4,5;26,51;44;;;ARG;128;128;128;54;1748,6;1718,8;1759,1;0,666666667;0,727272727;0,733333333;1,100779283;662;0,05;0;177
CORENTIN MOUTET;4,1;25,62;45;30,0;;FRA;128;128;128;4;1763,1;1701,2;1881,9;0,5;0,375;0,8;0,783573768;394;-0,15;1;149
LUCA VAN ASSCHE;1,0;25,31;46;;;FRA;128;128;128;19;1700,7;1638,2;1801,5;0,416666667;0,454545455;0,846153846;0,477878272;293;-0,15;1;163
HAMAD MEDJEDOVIC;5,1;24,3;47;;;SRB;128;128;128;42;1840,5;1816,3;1859,9;0,75;0,8125;1,0;1,797488621;842;0,075;0;129
HUBERT HURKACZ;5,4;24,19;48;;;POL;128;128;128;11;1798,2;1762,2;2022,5;0,583333333;0,636363636;0,916666667;0,729885033;867;0,05;0;110
TOMAS MACHAC;7,0;24,05;49;;;CZE;128;128;128;63;1865,9;1782,8;1972,7;0,5;0,545454545;0,846153846;0,374524138;585;-0,05;0;129
ALEX MICHELSEN;6,5;23,98;50;;;USA;128;128;128;50;1825,0;1694,4;1904,8;0,416666667;0,285714286;0,636363636;0,19689958;338;-0,075;0;159
GAEL MONFILS;2,9;23,88;51;;WC;FRA;128;128;128;30;1803,3;1684,9;2087,1;0,375;0,333333333;1,0;-0,239352856;78;-0,1;1;90
YIBING WU;1,9;23,35;52;;;CHN;128;128;128;26;1763,2;1680,4;1882,9;0,666666667;0,727272727;0,916666667;0,185541201;521;0,05;0;73
ALEXEI POPYRIN;3,2;22,24;53;;;AUS;128;128;128;31;1754,5;1733,3;1902,2;0,416666667;0,5;0,888888889;0,682734666;392;0,0;0;112
ETHAN QUINN;2,0;21,51;54;;;USA;128;128;128;7;1775,5;1673,9;1842,9;0,5;0,5;0,8;1,070467429;869;-0,03;0;149
FACUNDO DIAZ ACOSTA;1,0;20,8;55;;Q;ARG;128;128;128;27;1653,5;1646,9;1791,9;0,833333333;0,846153846;1,0;2,000315975;758;0,45;0;115
CAMILO UGO CARABELLI;3,9;20,35;56;;;ARG;128;128;128;39;1759,2;1740,6;1771,9;0,5;0,545454545;0,846153846;1,339210494;738;-0,03;0;168
