player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Novak Djokovic;25,1;85,96;1;3,0;;SRB;128;128;128;48;2075,5;1967,4;2463,2;0,8;0,0;0,0;-0,3;0,0;0,0;0,0;171;novak djokovic;0;0,0;95
Jannik Sinner;33,2;83,06;2;1,0;;ITA;128;128;128;1;2331,9;2221,8;2339,8;1,0;1,0;0,4545454545454545;1,56877349931687;999,0;0,15;1,0;260;jannik sinner;6;150,0;95
Alexander Zverev;27,2;76,26;3;2,0;;GER;128;128;128;64;2114,5;2058,5;2176,5;0,8333333333333334;0,8461538461538461;0,5652173913043478;2,1622479415133715;1461,0;0,1;0,0;288;alexander zverev;2;50,0;95
Daniil Medvedev;17,3;66,69;4;7,0;;;128;128;128;32;1971,3;1885,9;2201,2;0,6666666666666666;0,5;0,3333333333333333;0,763618250700388;386,0;0,0499999999999999;0,0;247;daniil medvedev;4;100,0;95
Felix Auger Aliassime;20,1;64,23;5;4,0;;CAN;128;128;128;17;1972,8;1871,4;2062,7;0,5833333333333334;0,6;0,5;0,4482855154042391;490,0;0,0;0,0;203;felix auger aliassime;0;0,0;95
Casper Ruud;17,8;53,35;6;23,0;;NOR;128;128;128;37;1959,8;1954,0;2071,9;0,5833333333333334;0,7142857142857143;0,6363636363636364;1,5278485112487572;718,0;0,075;0,0;215;casper ruud;5;125,0;95
Tommy Paul;13,3;53,08;7;16,0;;USA;128;128;128;57;1943,0;1882,8;2028,8;0,6666666666666666;0,8;0,4545454545454545;0,2279441271898347;667,0;-0,15;0,0;209;tommy paul;1;25,0;95
Flavio Cobolli;11,7;52,74;8;10,0;;ITA;128;128;128;25;1898,2;1853,0;1931,6;0,6666666666666666;0,7272727272727273;0,7857142857142857;1,654914218063798;1088,0;0,0499999999999999;1,0;252;flavio cobolli;1;25,0;95
Alex De Minaur;17,8;51,32;9;6,0;;AUS;128;128;128;49;1960,8;1869,2;2053,1;0,5;0,5;0,6666666666666666;0,363308719839694;670,0;-0,05;0,0;248;alex de minaur;0;0,0;95
Ben Shelton;17,5;51,03;10;5,0;;USA;128;128;128;16;1939,0;1834,4;2024,4;0,6666666666666666;0,75;0,7272727272727273;1,170155701638017;972,0;0,1;0,0;210;ben shelton;0;0,0;95
