player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Alexander Zverev;28,1;89,28;1;1,0;;GER;128;128;128;1;2114,5;2048,9;2176,5;0,8333333333333334;0,0;0,0;0,3478844521026901;958,0;0,0;0,0;228;alexander zverev;0;0;0
Felix Auger Aliassime;20,6;77,03;2;2,0;;CAN;128;128;128;64;1972,8;1939,6;2062,7;0,6666666666666666;0,0;0,0;0,1836368936731652;891,0;0,0;1,0;178;felix auger aliassime;0;0;0
Daniil Medvedev;17,3;75,05;3;4,0;;;128;128;128;17;1971,3;1959,3;2201,2;0,5833333333333334;0,0;0,0;-0,1608860359293816;308,0;0,0;0,0;177;daniil medvedev;0;0;0
Alex De Minaur;17,8;69,96;4;3,0;;AUS;128;128;128;48;1960,8;1935,5;2053,1;0,6666666666666666;0,6666666666666666;0,2142857142857142;1,1485763294196645;688,0;0,0499999999999999;0,0;196;alex de minaur;0;0;0
Andrey Rublev;14,2;64,71;5;10,0;;;128;128;128;56;1901,6;1848,3;2122,1;0,6666666666666666;0,0;0,0;0,721055548861339;612,0;0,1;0,0;171;andrey rublev;0;0;0
Ben Shelton;17,5;61,17;6;5,0;;USA;128;128;128;32;1939,0;1910,9;2024,4;0,75;1,0;0,2;0,8543367422173332;273,0;0,15;0,0;171;ben shelton;0;0;0
Taylor Fritz;22,3;56,24;7;7,0;;USA;128;128;128;16;1927,3;1847,6;2070,2;0,8333333333333334;1,0;0,125;0,665359212346705;621,0;0,15;0,0;190;taylor fritz;0;0;0
Jiri Lehecka;10,8;54,42;8;8,0;;CZE;128;128;128;33;1934,6;1888,6;1989,9;0,5;0,0;0,1;0,5915742288579438;615,0;-0,15;0,0;150;jiri lehecka;0;0;0
Flavio Cobolli;11,7;51,9;9;6,0;;ITA;128;128;128;49;1898,2;1810,6;1931,6;0,6666666666666666;0,0;0,0;0,2776004496569315;1009,0;-0,15;0,0;181;flavio cobolli;0;0;0
Jakub Mensik;13,0;51,11;10;13,0;;CZE;128;128;128;24;1916,9;1885,7;1969,6;0,5833333333333334;0,5;0,2857142857142857;0,8733982137817154;476,0;0,0;0,0;168;jakub mensik;0;0;0
Frances Tiafoe;10,6;50,78;11;15,0;;USA;128;128;128;57;1916,3;1860,6;1974,0;0,75;0,0;0,0769230769230769;0,5149325183336038;700,0;-0,15;0,0;154;frances tiafoe;0;0;0
