player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Carlos Alcaraz;31,3;95,56;1;2,0;;ESP;128;128;128;64;2146,8;2073,3;2308,5;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;320;carlos alcaraz;17;0;0,0
Alexander Zverev;26,2;92,46;2;1,0;;GER;128;128;128;1;2093,1;2027,1;2176,5;0,6666666666666666;0,5;0,3636363636363636;1,3389919156486565;609,0;0,0499999999999999;0,0;354;alexander zverev;17;0;0,0
Felix Auger Aliassime;20,5;90,75;3;3,0;;CAN;128;128;128;17;1973,3;1937,7;2062,7;0,6666666666666666;0,6666666666666666;0,375;0,232751338079806;274,0;0,0499999999999999;0,0;311;felix auger aliassime;17;0;0,0
Alex De Minaur;17,4;90,17;4;6,0;;AUS;128;128;128;16;1950,3;1919,4;2053,1;0,6666666666666666;0,625;0,6666666666666666;0,691410108214374;932,0;0,0;0,0;347;alex de minaur;17;0;0,0
Novak Djokovic;24,3;85,96;5;4,0;;SRB;128;128;128;48;2061,0;2013,1;2463,2;0,6363636363636364;0,0;0,1428571428571428;0,2879504873009406;164,0;-0,15;0,0;232;novak djokovic;17;0;0,0
Taylor Fritz;22,4;82,67;6;9,0;;USA;128;128;128;25;1958,6;1888,6;2070,2;0,75;0,8;0,6666666666666666;0,8083711434102485;895,0;0,075;1,0;344;taylor fritz;17;0;0,0
Daniil Medvedev;15,9;81,44;7;7,0;;;128;128;128;33;1949,6;1934,1;2201,2;0,5;0,25;0,5714285714285714;1,0590236117780294;458,0;-0,05;0,0;330;daniil medvedev;17;1;25,0
Frances Tiafoe;11,6;76,28;8;11,0;;USA;128;128;128;40;1934,2;1883,7;1974,0;0,6666666666666666;0,6666666666666666;0,75;1,3204485795426049;825,0;0,1;1,0;283;frances tiafoe;17;0;0,0
Flavio Cobolli;12,5;76,09;9;5,0;;ITA;128;128;128;32;1922,2;1843,8;1931,6;0,6666666666666666;0,6666666666666666;0,5;1,3086186701547151;733,0;0,09;0,0;339;flavio cobolli;17;0;0,0
Jakub Mensik;12,9;70,77;10;17,0;;CZE;128;128;128;21;1910,4;1874,9;1969,6;0,5833333333333334;0,6666666666666666;0,8181818181818182;1,1779758727549372;1056,0;0,0499999999999999;0,0;218;jakub mensik;17;0;0,0
