player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Jiri Lehecka;10,8;59,62;1;1,0;;CZE;32;32;32;1;1934,6;1888,6;1989,9;0,5833333333333334;0,0;0,0;0,1742613691108118;605,0;0,0;0,0;212
Francisco Cerundolo;12,4;55,25;2;3,0;;ARG;32;32;32;5;1915,1;1872,1;1961,6;0,6666666666666666;0,0;0,0;-0,2381281566461771;105,0;0,0;0,0;234
Cameron Norrie;7,0;55,13;3;5,0;;GBR;32;32;32;9;1815,5;1782,4;2028,6;0,3333333333333333;0,0;0,0;-0,1680492089227105;240,0;0,0;0,0;204
Karen Khachanov;11,9;53,95;4;4,0;;;32;32;32;12;1831,4;1784,5;2029,5;0,5833333333333334;0,0;0,0;0,0779330588027302;546,0;-0,15;0,0;198
Grigor Dimitrov;3,8;42,3;5;;WC;BUL;32;32;32;3;1758,1;1742,9;2111,5;0,6666666666666666;0,0;0,0;0,6599533770118591;1079,0;0,05;0,0;185
Denis Shapovalov;7,4;36,75;6;8,0;;CAN;32;32;32;13;1761,8;1770,4;1983,2;0,2727272727272727;0,0;0,0;-0,2373233742382875;114,0;0,0;0,0;155
Luciano Darderi;8,0;33,23;7;2,0;;ITA;32;32;32;16;1839,4;1680,8;1858,1;0,5833333333333334;0,0;0,0;1,9901120963050685;909,0;0,1;0,0;259
Adam Walton;3,4;30,67;8;;;AUS;32;32;32;15;1722,4;1678,5;1747,1;0,6666666666666666;0,875;0,3809523809523809;2,0602832506392814;1106,0;0,0499999999999999;0,0;245
Michael Zheng;1,0;27,85;9;;;USA;32;32;32;8;1771,4;1709,6;1777,3;0,75;1,0;0,2727272727272727;1,4858677700871;1239,0;0,15;0,0;72
Corentin Moutet;4,3;25,71;10;6,0;;FRA;32;32;32;4;1733,4;1721,2;1881,9;0,1666666666666666;0,0;0,0;-0,182148869802242;200,0;0,0;0,0;200
Arthur Gea;1,0;24,03;11;;;FRA;32;32;32;7;1632,7;1635,5;1722,1;0,6666666666666666;0,8;0,3571428571428571;0,8632676816461542;1096,0;0,0499999999999999;0,0;117
Martin Landaluce;3,6;21,64;12;7,0;;ESP;32;32;32;8;1712,0;1677,5;1764,1;0,5;0,0;0,0;-0,2224789102420924;141,0;0,0;0,0;183
Gabriel Diallo;4,1;21,61;13;;;CAN;32;32;32;6;1717,1;1678,9;1889,2;0,3333333333333333;0,0;0,0;0,0153910264461294;515,0;0,0;0,0;218
Rinky Hijikata;2,7;21,05;14;;;AUS;32;32;32;13;1734,0;1686,9;1756,7;0,5833333333333334;0,0;0,0;-0,1467935307429146;260,0;0,0;0,0;264
Sho Shimabukuro;1,7;19,08;15;;;JPN;32;32;32;14;1661,3;1600,5;1692,5;0,5833333333333334;0,0;0,0;-0,2004157949828945;169,0;0,0;0,0;208
Coleman Wong;1,0;16,62;16;;;;32;32;32;2;1582,1;1576,9;1730,8;0,5;0,6;0,5;0,652784775319791;513,0;0,0299999999999999;0,0;200
James Duckworth;1,0;16,22;17;;;AUS;32;32;32;10;1637,4;1596,6;1785,9;0,4166666666666667;0,0;0,0;-0,0906259125871592;329,0;0,0;0,0;255
Jenson Brooksby;3,4;14,45;19;;;USA;32;32;32;4;1725,6;1697,8;2005,3;0,3333333333333333;0,0;0,0;-0,0805600184924006;343,0;0,0;0,0;82
Darwin Blanch;1,0;10,08;23;;;USA;32;32;32;2;1519,2;1453,7;1610,4;0,5;0,0;0,1818181818181818;0,6326713022278802;684,0;-0,0299999999999999;0,0;74
Dalibor Svrcina;1,0;7,69;26;;;CZE;32;32;32;15;1620,7;1614,8;1712,9;0,4166666666666667;0,0;0,0;0,1838009380494202;506,0;-0,05;0,0;209
Aleksandar Kovacevic;3,0;5,22;27;;;USA;32;32;32;9;1627,7;1606,8;1758,8;0,3333333333333333;0,0;0,0;-0,2081842412087194;167,0;0,0;0,0;237
Moise Kouame;2,1;2,62;28;;WC;FRA;32;32;32;3;1516,0;1523,1;1579,4;0,2222222222222222;0,0;0,0;-0,0921024814664143;172,0;-0,0999999999999999;0,0;27
BYE;0,0;0,0;29;;;;32;32;32;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
BYE;0,0;0,0;29;;;;32;32;32;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
