player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Jannik Sinner;33,2;114,43;1;1,0;;ITA;128;128;128;1;2319,8;2088,3;2339,8;0,9166666666666666;0,0;0,0;-0,144426936289844;342,0;0,0;0,0;405
Alexander Zverev;27,2;90,85;2;2,0;;GER;128;128;128;64;2099,8;1913,6;2176,5;0,8333333333333334;0,75;0,2105263157894736;1,9644263554252297;1509,0;0,1;0,0;418
Novak Djokovic;25,1;86,81;3;7,0;;SRB;128;128;128;32;2059,3;1924,9;2463,2;0,5714285714285714;0,0;0,0;-0,0462739721836755;524,0;0,0;0,0;288
Alex De Minaur;17,8;83,39;4;5,0;;AUS;128;128;128;33;1961,0;1833,9;2053,1;0,6666666666666666;0,7142857142857143;0,4666666666666667;1,0026136443853797;829,0;0,0499999999999999;0,0;385
Ben Shelton;17,5;78,22;5;4,0;;USA;128;128;128;48;1960,5;1863,4;2024,4;0,6666666666666666;0,8571428571428571;0,5833333333333334;2,509158828795996;1045,0;0,1;0,0;271
Felix Auger Aliassime;20,1;77,17;6;3,0;;CAN;128;128;128;17;1957,9;1789,1;2062,7;0,6666666666666666;0,6;0,3571428571428571;2,081071114917473;1569,0;0,0299999999999999;0,0;365
Taylor Fritz;22,3;72,83;7;6,0;;USA;128;128;128;49;1909,0;1856,6;2070,2;0,5833333333333334;0,7777777777777778;0,8181818181818182;2,8956135787572164;1063,0;0,0499999999999999;0,0;385
Frances Tiafoe;10,6;70,77;8;17,0;;USA;128;128;128;53;1918,1;1823,4;1974,0;0,8333333333333334;0,875;0,5;2,0945648771761363;1636,0;0,1;0,0;340
Learner Tien;8,2;68,25;9;16,0;;USA;128;128;128;24;1941,1;1711,3;1977,4;0,75;0,5;0,1666666666666666;0,7301985301028082;680,0;0,0;0,0;161
Tommy Paul;13,3;66,64;10;21,0;;USA;128;128;128;12;1948,5;1800,8;2028,8;0,75;0,8;0,3333333333333333;1,6167748043043768;949,0;0,09;0,0;346
Rafael Jodar;6,5;65,49;11;23,0;;ESP;128;128;128;5;1998,6;1699,3;2014,0;0,75;0,0;0,0;0,1539283419813834;831,0;0,0;0,0;94
Andrey Rublev;14,2;64,99;12;12,0;;;128;128;128;25;1902,2;1784,4;2122,1;0,5833333333333334;0,0;0,1111111111111111;0,1538353324272992;648,0;-0,15;0,0;395
Daniil Medvedev;17,3;64,14;13;8,0;;;128;128;128;16;1977,4;1855,1;2201,2;0,6666666666666666;0,6666666666666666;0,4;1,7817797638843431;892,0;0,0499999999999999;0,0;399
Alexander Bublik;12,0;61,01;14;10,0;;KAZ;128;128;128;56;1889,2;1802,0;1988,6;0,4166666666666667;0,5;0,3636363636363636;0,2817814731223087;526,0;0,0;0,0;336
Jiri Lehecka;10,8;59,42;15;13,0;;CZE;128;128;128;57;1921,6;1798,4;1989,9;0,5833333333333334;0,6;0,4545454545454545;1,581772007941897;682,0;0,0299999999999999;0,0;337
Jakub Mensik;13,0;59,05;16;15,0;;CZE;128;128;128;41;1931,3;1715,7;1969,6;0,5833333333333334;0,0;0,0833333333333333;0,9667090309215928;1165,0;-0,15;0,0;207
Karen Khachanov;11,9;57,35;17;19,0;;;128;128;128;37;1828,1;1724,8;2029,5;0,5833333333333334;0,0;0,0909090909090909;0,1810196755144166;611,0;-0,15;0,0;316
Brandon Nakashima;7,7;56,95;18;28,0;;USA;128;128;128;13;1839,0;1756,7;1909,5;0,5833333333333334;0,75;0,4444444444444444;1,3347736174375684;910,0;0,075;0,0;373
Flavio Cobolli;11,7;56,69;19;9,0;;ITA;128;128;128;40;1896,3;1742,2;1914,6;0,5833333333333334;0,0;0,0714285714285714;0,4874192312370464;991,0;-0,05;0,0;383
Cameron Norrie;7,0;50,76;20;26,0;;GBR;128;128;128;20;1828,8;1719,3;2028,6;0,4166666666666667;0,0;0,1666666666666666;-0,075483980619556;171,0;-0,15;1,0;360
Casper Ruud;17,8;50,13;21;11,0;;NOR;128;128;128;9;1983,1;1714,8;2071,9;0,75;0,0;0,0;0,053354446781876;650,0;0,0;0,0;378
Alejandro Davidovich Fokina;12,6;47,6;22;22,0;;ESP;128;128;128;21;1862,7;1716,7;1934,8;0,5833333333333334;0,6666666666666666;0,4615384615384615;1,2746374630533088;734,0;0,0499999999999999;0,0;305
Francisco Cerundolo;12,4;44,84;23;18,0;;ARG;128;128;128;60;1931,1;1783,5;1961,6;0,6666666666666666;1,0;0,3846153846153846;2,6671546145841685;1050,0;0,15;0,0;366
Joao Fonseca;10,2;43,62;24;24,0;;BRA;128;128;128;28;1927,6;1686,1;1992,5;0,5833333333333334;0,0;0,125;0,3555901089033147;977,0;-0,15;0,0;153
Ugo Humbert;7,0;42,8;25;27,0;;FRA;128;128;128;45;1852,3;1738,2;2017,7;0,6666666666666666;0,7777777777777778;0,5625;2,379670192260446;1035,0;0,1;0,0;326
Matteo Berrettini;6,2;39,92;26;;;ITA;128;128;128;43;1831,4;1739,0;2065,7;0,5833333333333334;0,0;0,0;0,1240184056168834;721,0;0,0;0,0;238
Luciano Darderi;8,0;39,12;27;14,0;;ITA;128;128;128;8;1839,2;1620,7;1858,1;0,6666666666666666;0,5;0,1538461538461538;0,8315516607095566;604,0;0,0;0,0;312
Alex Michelsen;6,5;37,34;28;;;USA;128;128;128;59;1825,0;1710,1;1904,8;0,4166666666666667;0,0;0,0;-0,0828696476774685;448,0;0,0;0,0;230
Martin Damm;1,0;36,88;29;;;USA;128;128;128;30;1719,3;1666,7;1767,9;0,5833333333333334;0,625;0,6153846153846154;0,6376497557444092;756,0;0,0499999999999999;0,0;132
Arthur Rinderknech;5,2;35,13;30;25,0;;FRA;128;128;128;29;1779,9;1644,9;1871,8;0,4166666666666667;0,0;0,2222222222222222;0,5373871005430098;402,0;-0,15;0,0;365
Ignacio Buse;4,9;34,83;31;31,0;;PER;128;128;128;4;1826,1;1622,7;1844,9;0,75;0,5;0,2352941176470588;1,3009768772178252;418,0;0,0;0,0;150
Benjamin Bonzi;1,4;34,5;32;;;FRA;128;128;128;51;1749,6;1678,1;1835,8;0,5833333333333334;0,75;0,6666666666666666;0,6925306294470954;748,0;0,0499999999999999;0,0;353
Tallon Griekspoor;6,5;32,82;33;;;NED;128;128;128;39;1789,5;1720,8;1951,8;0,3333333333333333;0,3333333333333333;0,3333333333333333;0,3315073594331099;593,0;-0,05;0,0;341
Arthur Fils;11,4;32,68;34;20,0;;FRA;128;128;128;44;2020,6;1796,4;2051,0;0,75;0,0;0,0;-0,3;0,0;0,0;0,0;244
Matteo Arnaldi;4,2;32,14;35;32,0;;ITA;128;128;128;61;1840,6;1621,6;1902,9;0,75;0,6666666666666666;0,1764705882352941;1,5782321329290254;1537,0;0,0;0,0;285
Kamil Majchrzak;3,1;30,42;36;;;POL;128;128;128;36;1801,5;1757,1;1813,1;0,6666666666666666;0,8;0,8333333333333334;0,9151706807254884;1128,0;0,1;0,0;241
Stefanos Tsitsipas;7,7;29,91;37;;;GRE;128;128;128;31;1842,7;1695,4;2145,1;0,4166666666666667;0,0;0,1111111111111111;0,3849231225205215;360,0;-0,15;0,0;373
