player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Daniil Medvedev;15,9;77,06;1;1,0;;;64;64;64;1;1949,6;1934,1;2201,2;0,5833333333333334;0,3333333333333333;0,5;1,1527308359938178;376,0;-0,05;0,0;329;daniil medvedev;44;0;0,0
Roman Safiullin;2,1;54,41;2;;;;64;64;64;19;1807,2;1736,8;1911,3;0,8333333333333334;0,6666666666666666;0,3;0,5595462606521618;269,0;0,0499999999999999;0,0;255;roman safiullin;44;0;0,0
Raphael Collignon;2,3;46,78;3;5,0;;BEL;64;64;64;25;1844,7;1785,5;1924,1;0,4166666666666667;0,0;0,2;0,1049715528151503;185,0;-0,15;0,0;183;raphael collignon;44;0;0,0
Mariano Navone;4,1;46,11;4;6,0;;ARG;64;64;64;8;1820,6;1730,0;1875,9;0,4166666666666667;0,6;0,4545454545454545;0,7603815868837428;732,0;0,0299999999999999;0,0;262;mariano navone;44;0;0,0
Arthur Fery;2,0;45,63;5;4,0;;GBR;64;64;64;9;1811,1;1733,8;1822,7;0,6666666666666666;0,5;0,2;1,0027335700764688;294,0;0,0;0,0;115;arthur fery;44;3;75,0
Luca Van Assche;1,0;45,06;6;11,0;;FRA;64;64;64;13;1789,6;1744,1;1801,5;0,8333333333333334;0,75;0,5;2,983499104495424;1566,0;0,1;0,0;304;luca van assche;44;0;0,0
Stefanos Tsitsipas;7,4;44,71;7;7,0;;GRE;64;64;64;16;1860,8;1813,0;2145,1;0,6666666666666666;0,5;0,4285714285714285;0,663929625758047;598,0;0,0299999999999999;0,0;311;stefanos tsitsipas;44;1;25,0
Tomas Machac;6,6;40,45;8;14,0;;CZE;64;64;64;12;1851,4;1813,0;1972,7;0,3333333333333333;0,0;1,0;-0,0602107630430351;73,0;-0,15;0,0;267;tomas machac;44;0;0,0
Pablo Carreno Busta;3,4;39,78;9;;;ESP;64;64;64;30;1782,8;1730,3;2005,1;0,5;0,3333333333333333;0,3333333333333333;0,460229778831089;432,0;-0,05;0,0;204;pablo carreno busta;44;0;0,0
Luciano Darderi;7,8;35,05;10;2,0;;ITA;64;64;64;32;1826,3;1698,6;1858,1;0,5833333333333334;0,5;0,375;0,7637917978445834;869,0;0,0299999999999999;0,0;312;luciano darderi;44;1;25,0
